sample_index,relative_path,method,reviewer_id,visually_plausible,obvious_artifact,artifact_type,review_scope,item_verdict
1,day1/members/allie/14_0135.webp,riddle,author,1,0,none,author_partner_manual_confirmation_sample,PASS
1,day1/members/allie/14_0135.webp,riddle,partner,1,0,none,author_partner_manual_confirmation_sample,PASS
1,day1/members/allie/14_0135.webp,falco,author,1,0,none,author_partner_manual_confirmation_sample,PASS
1,day1/members/allie/14_0135.webp,falco,partner,1,0,none,author_partner_manual_confirmation_sample,PASS
6,day1/members/bjorn/10_0088.webp,riddle,author,1,0,none,author_partner_manual_confirmation_sample,PASS
6,day1/members/bjorn/10_0088.webp,riddle,partner,1,0,none,author_partner_manual_confirmation_sample,PASS
6,day1/members/bjorn/10_0088.webp,falco,author,0,1,multi_face_blending_artifact,author_partner_manual_confirmation_sample,FAIL
6,day1/members/bjorn/10_0088.webp,falco,partner,0,1,multi_face_blending_artifact,author_partner_manual_confirmation_sample,FAIL
11,day1/members/tien/15_0585.webp,riddle,author,1,0,none,author_partner_manual_confirmation_sample,PASS
11,day1/members/tien/15_0585.webp,riddle,partner,1,0,none,author_partner_manual_confirmation_sample,PASS
11,day1/members/tien/15_0585.webp,falco,author,1,0,none,author_partner_manual_confirmation_sample,PASS
11,day1/members/tien/15_0585.webp,falco,partner,1,0,none,author_partner_manual_confirmation_sample,PASS
16,day2/members/klaus/19_0493.webp,riddle,author,1,0,none,author_partner_manual_confirmation_sample,PASS
16,day2/members/klaus/19_0493.webp,riddle,partner,1,0,none,author_partner_manual_confirmation_sample,PASS
16,day2/members/klaus/19_0493.webp,falco,author,1,0,none,author_partner_manual_confirmation_sample,PASS
16,day2/members/klaus/19_0493.webp,falco,partner,1,0,none,author_partner_manual_confirmation_sample,PASS
21,day3/members/tien/10_0690.webp,riddle,author,1,0,none,author_partner_manual_confirmation_sample,PASS
21,day3/members/tien/10_0690.webp,riddle,partner,1,0,none,author_partner_manual_confirmation_sample,PASS
21,day3/members/tien/10_0690.webp,falco,author,0,1,expression_eye_artifact,author_partner_manual_confirmation_sample,FAIL
21,day3/members/tien/10_0690.webp,falco,partner,0,1,expression_eye_artifact,author_partner_manual_confirmation_sample,FAIL
26,day4/members/bao/10_0060.webp,riddle,author,1,0,none,author_partner_manual_confirmation_sample,PASS
26,day4/members/bao/10_0060.webp,riddle,partner,1,0,none,author_partner_manual_confirmation_sample,PASS
26,day4/members/bao/10_0060.webp,falco,author,1,0,none,author_partner_manual_confirmation_sample,PASS
26,day4/members/bao/10_0060.webp,falco,partner,1,0,none,author_partner_manual_confirmation_sample,PASS
31,day2/members/onanong/17_0009.webp,riddle,author,0,1,false_positive_face_insertion,author_partner_manual_confirmation_sample,FAIL
31,day2/members/onanong/17_0009.webp,riddle,partner,0,1,false_positive_face_insertion,author_partner_manual_confirmation_sample,FAIL
31,day2/members/onanong/17_0009.webp,falco,author,0,1,false_positive_face_insertion,author_partner_manual_confirmation_sample,FAIL
31,day2/members/onanong/17_0009.webp,falco,partner,0,1,false_positive_face_insertion,author_partner_manual_confirmation_sample,FAIL
36,day2/members/florian/14_0293.webp,riddle,author,1,0,none,author_partner_manual_confirmation_sample,PASS
36,day2/members/florian/14_0293.webp,riddle,partner,1,0,none,author_partner_manual_confirmation_sample,PASS
36,day2/members/florian/14_0293.webp,falco,author,0,1,expression_eye_artifact,author_partner_manual_confirmation_sample,FAIL
36,day2/members/florian/14_0293.webp,falco,partner,0,1,expression_eye_artifact,author_partner_manual_confirmation_sample,FAIL
41,day1/members/onanong/08_0611.webp,riddle,author,1,0,none,author_partner_manual_confirmation_sample,PASS
41,day1/members/onanong/08_0611.webp,riddle,partner,1,0,none,author_partner_manual_confirmation_sample,PASS
41,day1/members/onanong/08_0611.webp,falco,author,0,1,expression_artifact,author_partner_manual_confirmation_sample,FAIL
41,day1/members/onanong/08_0611.webp,falco,partner,0,1,expression_artifact,author_partner_manual_confirmation_sample,FAIL
46,day1/members/tien/14_0026.webp,riddle,author,0,1,local_geometry_artifact,author_partner_manual_confirmation_sample,FAIL
46,day1/members/tien/14_0026.webp,riddle,partner,0,1,local_geometry_artifact,author_partner_manual_confirmation_sample,FAIL
46,day1/members/tien/14_0026.webp,falco,author,1,0,none,author_partner_manual_confirmation_sample,PASS
46,day1/members/tien/14_0026.webp,falco,partner,1,0,none,author_partner_manual_confirmation_sample,PASS
51,day3/members/onanong/12_0488.webp,riddle,author,1,0,none,author_partner_manual_confirmation_sample,PASS
51,day3/members/onanong/12_0488.webp,riddle,partner,1,0,none,author_partner_manual_confirmation_sample,PASS
51,day3/members/onanong/12_0488.webp,falco,author,1,0,none,author_partner_manual_confirmation_sample,PASS
51,day3/members/onanong/12_0488.webp,falco,partner,1,0,none,author_partner_manual_confirmation_sample,PASS
56,day2/members/luca/10_0654.webp,riddle,author,1,0,none,author_partner_manual_confirmation_sample,PASS
56,day2/members/luca/10_0654.webp,riddle,partner,1,0,none,author_partner_manual_confirmation_sample,PASS
56,day2/members/luca/10_0654.webp,falco,author,1,0,none,author_partner_manual_confirmation_sample,PASS
56,day2/members/luca/10_0654.webp,falco,partner,1,0,none,author_partner_manual_confirmation_sample,PASS
61,day2/members/tien/19_0472.webp,riddle,author,1,0,none,author_partner_manual_confirmation_sample,PASS
61,day2/members/tien/19_0472.webp,riddle,partner,1,0,none,author_partner_manual_confirmation_sample,PASS
61,day2/members/tien/19_0472.webp,falco,author,1,0,none,author_partner_manual_confirmation_sample,PASS
61,day2/members/tien/19_0472.webp,falco,partner,1,0,none,author_partner_manual_confirmation_sample,PASS
66,day3/members/klaus/08_0380.webp,riddle,author,1,0,none,author_partner_manual_confirmation_sample,PASS
66,day3/members/klaus/08_0380.webp,riddle,partner,1,0,none,author_partner_manual_confirmation_sample,PASS
66,day3/members/klaus/08_0380.webp,falco,author,1,0,none,author_partner_manual_confirmation_sample,PASS
66,day3/members/klaus/08_0380.webp,falco,partner,1,0,none,author_partner_manual_confirmation_sample,PASS
71,day1/members/cathal/12_0342.webp,riddle,author,1,0,none,author_partner_manual_confirmation_sample,PASS
71,day1/members/cathal/12_0342.webp,riddle,partner,1,0,none,author_partner_manual_confirmation_sample,PASS
71,day1/members/cathal/12_0342.webp,falco,author,1,0,none,author_partner_manual_confirmation_sample,PASS
71,day1/members/cathal/12_0342.webp,falco,partner,1,0,none,author_partner_manual_confirmation_sample,PASS
76,day2/members/cathal/14_0185.webp,riddle,author,1,0,none,author_partner_manual_confirmation_sample,PASS
76,day2/members/cathal/14_0185.webp,riddle,partner,1,0,none,author_partner_manual_confirmation_sample,PASS
76,day2/members/cathal/14_0185.webp,falco,author,1,0,none,author_partner_manual_confirmation_sample,PASS
76,day2/members/cathal/14_0185.webp,falco,partner,1,0,none,author_partner_manual_confirmation_sample,PASS
81,day4/members/luca/18_0590.webp,riddle,author,1,0,none,author_partner_manual_confirmation_sample,PASS
81,day4/members/luca/18_0590.webp,riddle,partner,1,0,none,author_partner_manual_confirmation_sample,PASS
81,day4/members/luca/18_0590.webp,falco,author,1,0,none,author_partner_manual_confirmation_sample,PASS
81,day4/members/luca/18_0590.webp,falco,partner,1,0,none,author_partner_manual_confirmation_sample,PASS
86,day2/members/cathal/10_0273.webp,riddle,author,0,1,false_positive_face_insertion,author_partner_manual_confirmation_sample,FAIL
86,day2/members/cathal/10_0273.webp,riddle,partner,0,1,false_positive_face_insertion,author_partner_manual_confirmation_sample,FAIL
86,day2/members/cathal/10_0273.webp,falco,author,0,1,false_positive_face_insertion,author_partner_manual_confirmation_sample,FAIL
86,day2/members/cathal/10_0273.webp,falco,partner,0,1,false_positive_face_insertion,author_partner_manual_confirmation_sample,FAIL
91,day4/members/luca/14_0559.webp,riddle,author,1,0,none,author_partner_manual_confirmation_sample,PASS
91,day4/members/luca/14_0559.webp,riddle,partner,1,0,none,author_partner_manual_confirmation_sample,PASS
91,day4/members/luca/14_0559.webp,falco,author,0,1,expression_eye_artifact,author_partner_manual_confirmation_sample,FAIL
91,day4/members/luca/14_0559.webp,falco,partner,0,1,expression_eye_artifact,author_partner_manual_confirmation_sample,FAIL
96,day2/members/klaus/18_0665.webp,riddle,author,1,0,none,author_partner_manual_confirmation_sample,PASS
96,day2/members/klaus/18_0665.webp,riddle,partner,1,0,none,author_partner_manual_confirmation_sample,PASS
96,day2/members/klaus/18_0665.webp,falco,author,1,0,none,author_partner_manual_confirmation_sample,PASS
96,day2/members/klaus/18_0665.webp,falco,partner,1,0,none,author_partner_manual_confirmation_sample,PASS
