method,privacy_max_reid,utility_deployment,runtime_efficiency,success_score,pareto_efficient
reverse_personalization,0.823185988323603,0.9917024864334605,0.0,0.964,True
solid_mask_black,0.7072666666666666,0.9194093818907698,0.9145398624,1.0,True
riddle,0.7032999999999999,0.9201447670738653,0.9270051603155999,1.0,True
layered_blur_downscale_noise,0.6724904761904762,0.9578851854600355,0.9118071336,1.0,True
diffusion_low_step,0.6680364357864359,0.9547785881233773,0.5407132299999999,1.0,False
blur,0.6078222222222222,0.9661714670233355,0.9014511184,1.0,True
falco,0.70435,0.9155571679025589,0.0,1.0,False
nullface,0.6259396103896104,0.9173857489593691,0.0,1.0,False
pixelate,0.39187525252525257,0.9736387036642956,0.9028491512,1.0,True
