field,value,count
visible_face_leakage_risk,high,55
visible_face_leakage_risk,none,23
visible_face_leakage_risk,possible,22
visible_text_leakage_risk,high,3
visible_text_leakage_risk,none,83
visible_text_leakage_risk,possible,14
visible_screen_leakage_risk,high,6
visible_screen_leakage_risk,none,92
visible_screen_leakage_risk,possible,2
scene_understandability,high,83
scene_understandability,low,9
scene_understandability,medium,8
activity_understandability,high,66
activity_understandability,low,9
activity_understandability,medium,25
visual_disruption,high_source_blur,9
visual_disruption,low,77
visual_disruption,moderate_source_blur_or_occlusion,14
obvious_anonymisation_artifact_risk,high_method_failure_risk,25
obvious_anonymisation_artifact_risk,low_method_failure_risk,44
obvious_anonymisation_artifact_risk,medium_method_failure_risk,31
total_images,adjudicated,100
total_disagreements,pass_1_vs_pass_2_field_level,64
