method,evidence_level,final_status,n_input_frames,n_success,n_failure,oapr_role,limitation,report_safe_claim
blur,confirmatory,PROMOTED_COMPARABLE,500,500,0,practical_balanced_fallback,Metrics are computed on detected/reviewed face regions and full-frame perceptual similarity; runtime is from deterministic output materialisation.,Full comparable baseline evidence exists on the 500-frame locked subset.
pixelate,confirmatory,PROMOTED_COMPARABLE,500,500,0,low_privacy_utility_anchor,Metrics are computed on detected/reviewed face regions and full-frame perceptual similarity; runtime is from deterministic output materialisation.,Full comparable baseline evidence exists on the 500-frame locked subset.
solid_mask_black,confirmatory,PROMOTED_COMPARABLE,500,500,0,privacy_first_fallback,Metrics are computed on detected-face regions and full-frame perceptual similarity; no human identity ground truth is used.,Solid masking is strongest for privacy-first fallback but has the largest visible utility cost.
layered_blur_downscale_noise,confirmatory,PROMOTED_COMPARABLE,500,500,0,stronger_privacy_practical_fallback,Metrics are computed on detected-face regions and full-frame perceptual similarity; no human identity ground truth is used.,Layered obfuscation materially strengthens privacy while retaining more scene utility than total masking.
nullface,confirmatory_with_quality_limitations,BOUNDED_COMPARABLE,500,500,0,quality_limited_advanced_non_default,"Execution completed on all 500 frames; 353 were processed/anonymised and 147 were copy-through. Runtime is complete, while visual-quality risks still prevent default promotion.","NullFace has full 500-frame privacy, utility, and runtime evidence (20.389381 seconds/frame), but remains visual-quality- and runtime-limited for practical fallback use."
diffusion_low_step,full_comparable_execution,BOUNDED_COMPARABLE,500,500,0,advanced_full_comparable_candidate_not_default,Visual quality still requires direct qualitative review; metrics do not prove demographic consistency or scene realism.,"Diffusion completed the locked 500-frame comparable protocol with full SSIM, LPIPS, AdaFace, ArcFace, runtime, success, and failure evidence; it can now be compared directly against the baseline and deterministic methods without claiming global dominance over fixed blur."
reverse_personalization,improved_partial_comparable_with_final_metrics,BOUNDED_COMPARABLE,500,482,18,improved_partial_comparable_negative_practicality_evidence,"Targeted retry recovered 38 outputs, but 18/500 frames still failed; runtime and apparent visual consistency remain deployment limitations.","Reverse Personalization improved from 444 to 482 successful outputs after targeted retry and final metrics were recomputed on available outputs; it remains partial comparable, runtime-limited evidence rather than a deployment fallback."
styleid_stylegan,bounded,QUALITY_LIMITED_AFTER_SYSTEMATIC_TUNING,25,25,0,excluded_by_quality_gate,"The tuned pilot failed the qualitative promotion gate because face-scale, placement, coverage, pose/domain-transfer, and compositing artifacts persisted.",StyleID/StyleGAN was systematically tested and tuned but was not promoted beyond 25 frames because it failed the qualitative gate for egocentric imagery.
fams,bounded,QUALITY_LIMITED_AFTER_SYSTEMATIC_TUNING,300,300,0,excluded_by_quality_gate,"The earlier development run predates the locked protocol. The author 512-pixel/25-step multi-face recipe and degree sweep produced severe coloured corruption on all five hard cases; a separate 512-pixel/200-step author-sample control reproduced the failure with the obtainable SD2.1 mirror, while the original model identifier was inaccessible.",FAMS was systematically checked under documented settings but failed the visual promotion gate for egocentric imagery and could not reproduce its author sample with the obtainable checkpoint.
deepprivacy2,not_supported,INACCESSIBLE_OR_PERMISSION_GATED,0,0,0,excluded,checkpoints are not immediately and reproducibly available in the project workspace; branch removed as required dependency,DeepPrivacy2 was not evaluated; literature-only.
refacex,not_supported,INACCESSIBLE_OR_PERMISSION_GATED,0,0,0,excluded,source/code/checkpoints are not public in a reproducible reusable package; author permission required,Literature-only; no executed comparison.
g2face_reface_adapter,not_supported,DEPENDENCY_LIMITED,0,0,0,excluded,"available assets exist, but execution is blocked by CUDA/nvdiffrast/toolchain compatibility and dependency stack instability in current project environments","Dependency-limited; anonymisation quality was not evaluated."
riddle,full_comparable_execution_with_visual_review,RESEARCH_COMPARABLE_NOT_DEFAULT,500,500,0,research_comparator_not_default,The official source archive does not state an explicit licence. The 100-crop review found 14 obvious artifacts; landmark alignment and four-candidate tuning improved placement but retained synthetic pose/gaze failure on a generation-eligible face.,"RiDDLE completed the 500-frame comparison with strong privacy metrics, but uniform visual hardening excludes it from default runtime routing."
falco,full_comparable_execution_with_visual_review,BOUNDED_COMPARABLE,500,500,0,research_comparator_not_default,"Runtime is 16.62 seconds per frame and 22/100 reviewed crops showed obvious synthesis, expression, eye, geometry, insertion, or compositing artifacts.","FALCO completed all 500 frames and 1,279 face crops with very low AdaFace/ArcFace re-identification, but runtime and visual quality prevent default routing."
adaptive_artifact_gated_policy,materialised_full_comparable_with_grouped_quality_gate,SUPERSEDED_POLICY_ABLATION,500,500,0,historical_generative_policy_ablation,"The participant-grouped artifact gate recalled 11/14 reviewed artifacts and missed three; broader visual review also found pose/gaze failures outside the grouped artifact definition. It is retained as a measured policy ablation, not the runtime default.","The RiDDLE-heavy policy materialised 500 outputs and improved the declared numerical score, but was superseded after the uniform visual-quality gate."
adaptive_visual_safe_policy,full_500_route_with_uniform_visual_eligibility_gate,PROMOTED_VISUAL_SAFE_POLICY,500,500,0,final_visual_safe_runtime_policy,The policy is objective-specific and uses deterministic outputs already validated on the locked protocol; it does not establish universal superiority or naturalistic face synthesis.,"The final visual-safe adaptive policy routed 500/500 frames with zero generative routes, zero failures, and objective score 0.956166 under the declared balanced policy."
